Serial number,time,size,direction
1,1543264971.33292,66,1
2,1543264974.0531018,54,1
3,1543264977.5475655,79,1
4,1543264977.549613,288,1
5,1543264977.5510411,190,1
6,1543264977.553291,1514,1
7,1543264977.5551355,1514,1
8,1543264977.5551772,1514,1
9,1543264977.5849016,127,-1
10,1543264977.5883267,74,1
11,1543264977.5906568,60,-1
12,1543264977.5946877,1514,1
13,1543264977.597993,60,-1
14,1543264977.5990152,60,-1
15,1543264977.599492,1514,1
16,1543264977.6006157,1514,1
17,1543264977.602381,1514,1
18,1543264977.602424,1266,1
19,1543264977.631916,66,-1
20,1543264977.6335406,54,1
21,1543264977.635412,312,1
22,1543264977.6419735,60,-1
23,1543264977.641977,60,-1
24,1543264977.648026,1514,1
25,1543264977.6484957,60,-1
26,1543264977.6484978,60,-1
27,1543264977.6498275,1514,1
28,1543264977.649933,1514,1
29,1543264977.656613,1514,1
30,1543264977.6579952,252,1
31,1543264977.6748793,60,-1
32,1543264977.6756797,60,-1
33,1543264977.6756818,191,-1
34,1543264977.6771584,54,1
35,1543264977.6775136,105,1
36,1543264977.6866004,60,-1
37,1543264977.6883216,290,1
38,1543264977.6918135,60,-1
39,1543264977.691817,60,-1
40,1543264977.6994529,60,-1
41,1543264977.7071314,172,1
42,1543264977.7213032,172,1
43,1543264977.7275636,60,-1
44,1543264977.744631,60,-1
45,1543264977.7555285,172,1
46,1543264977.7580848,60,-1
47,1543264977.7585137,60,-1
48,1543264977.7602978,764,1
49,1543264977.7690516,172,1
50,1543264977.7814553,145,-1
51,1543264977.781459,92,-1
52,1543264977.7831905,172,1
53,1543264977.7835207,54,1
54,1543264977.7974017,172,1
55,1543264977.7979558,60,-1
56,1543264977.8037722,417,-1
57,1543264977.8056872,60,-1
58,1543264977.806213,85,1
59,1543264977.806526,54,1
60,1543264977.8320916,172,1
61,1543264977.8339756,60,-1
62,1543264977.8426425,60,-1
63,1543264977.8439984,54,1
64,1543264977.8509085,172,1
65,1543264977.8717766,172,1
66,1543264977.881172,172,1
67,1543264977.8873796,60,-1
68,1543264977.9089365,172,1
69,1543264977.9185567,60,-1
70,1543264977.9302535,172,1
71,1543264977.9442275,172,1
72,1543264977.9589238,172,1
73,1543264977.9677632,60,-1
74,1543264977.9948852,60,-1
75,1543264977.9985766,172,1
76,1543264978.012346,172,1
77,1543264978.021441,172,1
78,1543264978.0422099,172,1
79,1543264978.0524504,60,-1
80,1543264978.0534055,297,1
81,1543264978.0542357,190,1
82,1543264978.0560205,1514,1
83,1543264978.083115,60,-1
84,1543264978.0845854,1514,1
85,1543264978.084949,1514,1
86,1543264978.0948455,60,-1
87,1543264978.0962439,181,1
88,1543264978.105214,172,1
89,1543264978.1267684,60,-1
90,1543264978.1282566,172,1
91,1543264978.1371236,60,-1
92,1543264978.154076,172,1
93,1543264978.1634417,60,-1
94,1543264978.172096,172,1
95,1543264978.182158,172,1
96,1543264978.2091296,60,-1
97,1543264978.2242045,145,-1
98,1543264978.2242072,92,-1
99,1543264978.2307067,172,1
100,1543264978.2320492,172,1
101,1543264978.2329702,54,1
102,1543264978.2453547,172,1
103,1543264978.2661383,172,1
104,1543264978.271326,60,-1
105,1543264978.2806811,172,1
106,1543264978.305565,60,-1
107,1543264978.3151245,172,1
108,1543264978.3289287,172,1
109,1543264978.343187,172,1
110,1543264978.3523443,60,-1
111,1543264978.363925,172,1
112,1543264978.3807995,60,-1
113,1543264978.3917804,172,1
114,1543264978.4061422,172,1
115,1543264978.4267714,172,1
116,1543264978.429118,60,-1
117,1543264978.4408054,172,1
118,1543264978.4732964,60,-1
119,1543264978.4740436,172,1
120,1543264978.4908445,172,1
121,1543264978.504207,172,1
122,1543264978.509997,60,-1
123,1543264978.518369,172,1
124,1543264978.5401497,60,-1
125,1543264978.5531878,172,1
126,1543264978.5670695,172,1
127,1543264978.581909,172,1
128,1543264978.5898082,60,-1
129,1543264978.6025434,172,1
130,1543264978.6202552,60,-1
131,1543264978.6310909,172,1
132,1543264978.6516013,172,1
133,1543264978.6650665,172,1
134,1543264978.672091,60,-1
135,1543264978.6788619,172,1
136,1543264978.7008703,60,-1
137,1543264978.714448,172,1
138,1543264978.7278035,172,1
139,1543264978.7420278,172,1
140,1543264978.7593937,60,-1
141,1543264978.7634637,172,1
142,1543264978.7779338,60,-1
143,1543264978.790591,172,1
144,1543264978.8140619,172,1
145,1543264978.827334,60,-1
146,1543264978.8310082,172,1
147,1543264978.8392293,172,1
148,1543264978.8680258,60,-1
149,1543264978.8739812,172,1
150,1543264978.888141,172,1
151,1543264978.9135494,60,-1
152,1543264978.9316466,172,1
153,1543264978.9318295,172,1
154,1543264978.9505026,172,1
155,1543264978.9682446,60,-1
156,1543264978.9712236,172,1
157,1543264978.9848971,172,1
158,1543264978.987903,60,-1
159,1543264978.9991817,172,1
160,1543264979.0215354,60,-1
161,1543264979.03405,172,1
162,1543264979.0478644,172,1
163,1543264979.0626168,172,1
164,1543264979.071031,60,-1
165,1543264979.084648,172,1
166,1543264979.1022165,60,-1
167,1543264979.1120114,172,1
168,1543264979.1263006,172,1
169,1543264979.146083,172,1
170,1543264979.1488645,60,-1
171,1543264979.1596873,172,1
172,1543264979.1859255,60,-1
173,1543264979.1952147,172,1
174,1543264979.2089,172,1
175,1543264979.2230413,172,1
176,1543264979.2342474,60,-1
177,1543264979.2372866,172,1
178,1543264979.2603867,60,-1
