Serial number,time,size,direction
1,1543274334.0045528,60,1
2,1543274334.0511904,54,-1
3,1543274337.4775088,287,-1
4,1543274337.4776819,190,-1
5,1543274337.483332,1514,-1
6,1543274337.4835415,1514,-1
7,1543274337.4843745,1514,-1
8,1543274337.4844043,721,-1
9,1543274337.4844208,74,-1
10,1543274337.4857316,132,-1
11,1543274337.487167,180,-1
12,1543274337.4887276,1514,-1
13,1543274337.4901156,192,-1
14,1543274337.5138175,60,-1
15,1543274337.5154798,1514,-1
16,1543274337.5157976,1514,-1
17,1543274337.5188992,60,-1
18,1543274337.520294,1514,-1
19,1543274337.5217552,1168,-1
20,1543274337.5253036,66,-1
21,1543274337.5253057,66,-1
22,1543274337.525307,60,-1
23,1543274337.525308,60,-1
24,1543274337.5260642,60,-1
25,1543274337.5260658,60,-1
26,1543274337.5260668,60,-1
27,1543274337.5260677,60,-1
28,1543274337.5277364,66,-1
29,1543274337.529339,60,-1
30,1543274337.5349474,54,-1
31,1543274337.5362954,312,-1
32,1543274337.5534325,60,-1
33,1543274337.5579634,60,-1
34,1543274337.5617204,1514,-1
35,1543274337.562105,1514,-1
36,1543274337.562384,1514,-1
37,1543274337.5639014,1514,-1
38,1543274337.5639422,1052,-1
39,1543274337.5646508,60,-1
40,1543274337.5731242,60,-1
41,1543274337.5779393,60,-1
42,1543274337.5781155,191,-1
43,1543274337.5821872,172,-1
44,1543274337.5823958,54,-1
45,1543274337.5824862,105,-1
46,1543274337.596047,172,-1
47,1543274337.5987737,60,-1
48,1543274337.6043363,60,-1
49,1543274337.604338,60,-1
50,1543274337.6047559,96,-1
51,1543274337.61043,172,-1
52,1543274337.623798,172,-1
53,1543274337.6307492,60,-1
54,1543274337.648426,146,-1
55,1543274337.6484282,92,-1
56,1543274337.656753,54,-1
57,1543274337.6585202,172,-1
58,1543274337.660268,60,-1
59,1543274337.661694,768,-1
60,1543274337.672536,172,-1
61,1543274337.6930869,172,-1
62,1543274337.6968968,60,-1
63,1543274337.698684,60,-1
64,1543274337.7052445,417,-1
65,1543274337.7075088,85,-1
66,1543274337.7076313,172,-1
67,1543274337.7077122,54,-1
68,1543274337.7289019,60,-1
69,1543274337.7353163,172,-1
70,1543274337.744819,60,-1
71,1543274337.746085,54,-1
72,1543274337.7488873,60,-1
73,1543274337.7561927,172,-1
74,1543274337.7702482,172,-1
75,1543274337.770298,60,-1
76,1543274337.7844334,172,-1
77,1543274337.81334,60,-1
78,1543274337.8191884,172,-1
79,1543274337.8338284,172,-1
80,1543274337.8475,172,-1
81,1543274337.8550193,60,-1
82,1543274337.8681655,172,-1
83,1543274337.8839293,60,-1
84,1543274337.906862,172,-1
85,1543274337.9172316,172,-1
86,1543274337.9310024,172,-1
87,1543274337.9413183,60,-1
88,1543274337.9480834,172,-1
89,1543274337.9673653,60,-1
90,1543274337.983318,172,-1
91,1543274337.9838057,288,-1
92,1543274337.9838886,190,-1
93,1543274337.9845278,1514,-1
94,1543274337.9856503,1514,-1
95,1543274337.9857118,1514,-1
96,1543274337.985746,424,-1
97,1543274337.9857764,136,-1
98,1543274337.986017,92,-1
99,1543274337.9945164,172,-1
100,1543274338.0087032,172,-1
101,1543274338.0192344,60,-1
102,1543274338.0244694,60,-1
103,1543274338.0249336,60,-1
104,1543274338.0249393,60,-1
105,1543274338.024941,60,-1
106,1543274338.0301583,172,-1
107,1543274338.0439286,60,-1
108,1543274338.057532,172,-1
109,1543274338.071466,172,-1
110,1543274338.0935454,60,-1
111,1543274338.0973883,172,-1
112,1543274338.106473,172,-1
113,1543274338.1322172,146,-1
114,1543274338.1322224,92,-1
115,1543274338.134315,54,-1
116,1543274338.1410844,60,-1
117,1543274338.141533,172,-1
118,1543274338.1552486,172,-1
119,1543274338.1693838,172,-1
120,1543274338.1832712,172,-1
121,1543274338.1912103,60,-1
122,1543274338.219195,172,-1
123,1543274338.2276313,60,-1
124,1543274338.2333357,172,-1
125,1543274338.2542882,172,-1
126,1543274338.2686987,172,-1
127,1543274338.2693295,60,-1
128,1543274338.295092,172,-1
129,1543274338.3042643,60,-1
130,1543274338.3161657,172,-1
131,1543274338.3305445,172,-1
132,1543274338.3455663,172,-1
133,1543274338.3509827,60,-1
134,1543274338.3818004,60,-1
135,1543274338.3822172,172,-1
136,1543274338.3943303,172,-1
137,1543274338.4073105,172,-1
138,1543274338.4275928,172,-1
139,1543274338.4293237,60,-1
140,1543274338.4566162,172,-1
141,1543274338.463299,60,-1
142,1543274338.476217,172,-1
143,1543274338.4905918,172,-1
144,1543274338.5043724,172,-1
145,1543274338.512014,60,-1
146,1543274338.53925,172,-1
147,1543274338.5414667,60,-1
148,1543274338.5532022,172,-1
149,1543274338.5677433,172,-1
150,1543274338.5883913,60,-1
151,1543274338.6072803,172,-1
152,1543274338.6167269,172,-1
153,1543274338.637452,172,-1
154,1543274338.641984,60,-1
155,1543274338.6527934,172,-1
156,1543274338.6654384,172,-1
157,1543274338.6732204,60,-1
158,1543274338.7003634,60,-1
159,1543274338.700743,172,-1
160,1543274338.7139068,172,-1
161,1543274338.728073,172,-1
162,1543274338.7495859,172,-1
163,1543274338.7500594,60,-1
164,1543274338.7772164,172,-1
165,1543274338.7867117,60,-1
166,1543274338.791327,172,-1
167,1543274338.8125656,172,-1
168,1543274338.8262544,172,-1
169,1543274338.834523,60,-1
170,1543274338.862103,172,-1
171,1543274338.864506,60,-1
172,1543274338.8758128,172,-1
173,1543274338.8892634,172,-1
174,1543274338.904668,172,-1
175,1543274338.9105754,60,-1
176,1543274338.9381182,172,-1
177,1543274338.9392157,60,-1
178,1543274338.9520557,172,-1
179,1543274338.9730928,172,-1
180,1543274338.987257,60,-1
181,1543274338.9875076,172,-1
182,1543274339.0151575,172,-1
183,1543274339.0232735,60,-1
184,1543274339.0361938,172,-1
185,1543274339.0507646,172,-1
186,1543274339.064198,172,-1
187,1543274339.081124,60,-1
188,1543274339.0994792,172,-1
189,1543274339.1102939,60,-1
190,1543274339.1133575,172,-1
191,1543274339.1271307,172,-1
192,1543274339.1484215,172,-1
193,1543274339.150175,60,-1
194,1543274339.1762233,172,-1
195,1543274339.1834326,60,-1
196,1543274339.1971443,172,-1
197,1543274339.2110236,172,-1
198,1543274339.2243855,172,-1
199,1543274339.2344286,60,-1
200,1543274339.2593873,172,-1
201,1543274339.2606428,60,-1
202,1543274339.2734594,172,-1
203,1543274339.3014586,172,-1
204,1543274339.3082342,60,-1
205,1543274339.30847,172,-1
206,1543274339.33669,172,-1
207,1543274339.3436906,60,-1
208,1543274339.358337,172,-1
209,1543274339.3723717,172,-1
210,1543274339.3864243,172,-1
211,1543274339.3936107,60,-1
212,1543274339.420737,172,-1
213,1543274339.4268568,60,-1
214,1543274339.4339848,172,-1
215,1543274339.4481442,172,-1
216,1543274339.469545,60,-1
217,1543274339.4696877,172,-1
218,1543274339.4972637,172,-1
219,1543274339.5054762,60,-1
220,1543274339.511206,172,-1
221,1543274339.5324824,172,-1
222,1543274339.546275,172,-1
223,1543274339.5484824,60,-1
224,1543274339.5834062,172,-1
225,1543274339.5855508,60,-1
226,1543274339.5953476,172,-1
227,1543274339.609514,172,-1
228,1543274339.6246295,172,-1
229,1543274339.6311326,60,-1
230,1543274339.6583526,172,-1
231,1543274339.6597252,60,-1
232,1543274339.672155,172,-1
233,1543274339.6932302,172,-1
234,1543274339.7078862,172,-1
235,1543274339.708257,60,-1
236,1543274339.7362869,172,-1
237,1543274339.7458732,60,-1
238,1543274339.761715,172,-1
239,1543274339.771932,172,-1
240,1543274339.7845492,172,-1
241,1543274339.7971628,60,-1
242,1543274339.8197842,172,-1
243,1543274339.8210638,60,-1
244,1543274339.8334587,172,-1
245,1543274339.8472545,172,-1
246,1543274339.8680618,172,-1
247,1543274339.8710225,60,-1
248,1543274339.8964033,172,-1
249,1543274339.9043067,60,-1
250,1543274339.917131,172,-1
251,1543274339.9320183,172,-1
252,1543274339.935474,66,-1
253,1543274339.9456916,172,-1
254,1543274339.9525158,60,-1
255,1543274339.9818947,60,-1
256,1543274340.0014694,172,-1
257,1543274340.0016124,172,-1
258,1543274340.008657,172,-1
259,1543274340.0106227,100,-1
260,1543274340.0131183,100,-1
261,1543274340.0293837,172,-1
262,1543274340.040247,60,-1
263,1543274340.0495872,60,-1
264,1543274340.0611873,172,-1
265,1543274340.072152,172,-1
266,1543274340.0922406,172,-1
267,1543274340.097681,60,-1
268,1543274340.10626,172,-1
269,1543274340.128105,60,-1
270,1543274340.1343298,434,-1
271,1543274340.1411417,172,-1
272,1543274340.1446924,136,-1
273,1543274340.1451912,92,-1
274,1543274340.1534271,717,-1
275,1543274340.1631167,74,-1
276,1543274340.1801207,60,-1
277,1543274340.185575,54,-1
278,1543274340.2045188,66,-1
279,1543274340.2060137,54,-1
280,1543274340.2074718,312,-1
281,1543274340.226605,60,-1
282,1543274340.247515,60,-1
283,1543274340.2516806,60,-1
284,1543274340.2516835,191,-1
285,1543274340.2531607,54,-1
286,1543274340.2552104,105,-1
287,1543274340.3496103,60,-1
288,1543274340.3549912,812,-1
289,1543274340.3978856,60,-1
290,1543274340.4066203,417,-1
291,1543274340.4123225,85,-1
292,1543274340.4125216,54,-1
293,1543274340.4145453,460,-1
294,1543274340.4159405,54,-1
295,1543274340.426947,74,-1
296,1543274340.4555666,60,-1
297,1543274340.4572253,54,-1
298,1543274340.4654045,66,-1
