Serial number,time,size,direction
1,1543263215.4901676,100,1
2,1543263215.4969037,100,-1
3,1543263215.5325387,60,1
4,1543263223.3185196,286,-1
5,1543263223.3191392,190,-1
6,1543263223.3192055,1514,-1
7,1543263223.3192468,1514,-1
8,1543263223.3192775,1514,-1
9,1543263223.3193095,124,-1
10,1543263223.3195481,132,-1
11,1543263223.31969,180,-1
12,1543263223.3199818,1514,-1
13,1543263223.320028,216,-1
14,1543263223.3584347,60,1
15,1543263223.3584385,60,1
16,1543263223.3585877,60,1
17,1543263223.3585894,60,1
18,1543263223.3618524,60,1
19,1543263223.36281,96,1
20,1543263223.405923,54,-1
21,1543263223.406502,1514,-1
22,1543263223.406549,1514,-1
23,1543263223.4080024,1514,-1
24,1543263223.408042,1472,-1
25,1543263223.418875,172,-1
26,1543263223.4334223,172,-1
27,1543263223.44729,172,-1
28,1543263223.4479978,60,1
29,1543263223.4483707,60,1
30,1543263223.4685504,60,1
31,1543263223.4870975,172,-1
32,1543263223.4976153,326,-1
33,1543263223.4978266,132,-1
34,1543263223.50283,190,-1
35,1543263223.5050368,1514,-1
36,1543263223.5063403,1514,-1
37,1543263223.5063944,1514,-1
38,1543263223.506415,81,-1
39,1543263223.5065079,136,-1
40,1543263223.5098033,92,-1
41,1543263223.516823,172,-1
42,1543263223.5309527,79,-1
43,1543263223.5310364,60,1
44,1543263223.5312319,172,-1
45,1543263223.5359647,60,1
46,1543263223.5430083,60,1
47,1543263223.5483725,60,1
48,1543263223.5487304,60,1
49,1543263223.5588822,172,-1
50,1543263223.5588772,127,-1
51,1543263223.5624151,74,-1
52,1543263223.5669026,60,1
53,1543263223.5796208,172,-1
54,1543263223.5938177,172,-1
55,1543263223.6024883,66,-1
56,1543263223.6058052,54,-1
57,1543263223.6076682,172,-1
58,1543263223.6091619,312,-1
59,1543263223.6147509,60,1
60,1543263223.6324282,145,1
61,1543263223.6324303,92,1
62,1543263223.6422617,54,-1
63,1543263223.6424263,54,-1
64,1543263223.6451235,60,-1
65,1543263223.6463645,172,-1
66,1543263223.6497476,60,-1
67,1543263223.6513312,1514,-1
68,1543263223.6515987,1514,-1
69,1543263223.652084,1514,-1
70,1543263223.6522133,1049,-1
71,1543263223.6553342,54,-1
72,1543263223.6555147,54,-1
73,1543263223.655613,54,-1
74,1543263223.655709,54,-1
75,1543263223.657602,172,-1
76,1543263223.6711664,172,-1
77,1543263223.677956,1049,-1
78,1543263223.6824322,66,-1
79,1543263223.6847298,60,1
80,1543263223.6922436,172,-1
81,1543263223.696794,180,-1
82,1543263223.7070277,60,1
83,1543263223.7193878,172,-1
84,1543263223.7363427,105,-1
85,1543263223.7402194,54,-1
86,1543263223.7421498,172,-1
87,1543263223.7425008,767,-1
88,1543263223.7548773,172,-1
89,1543263223.7553298,60,1
90,1543263223.7701752,172,-1
91,1543263223.7906554,60,1
92,1543263223.791082,417,-1
93,1543263223.7996914,85,-1
94,1543263223.7998714,54,-1
95,1543263223.803498,172,-1
96,1543263223.8174028,172,-1
97,1543263223.832388,172,-1
98,1543263223.8380883,60,-1
99,1543263223.8396494,60,1
100,1543263223.8426085,54,-1
101,1543263223.853161,172,-1
102,1543263223.8678274,60,1
103,1543263223.881198,172,-1
104,1543263223.8947613,172,-1
105,1543263223.915566,172,-1
106,1543263223.916642,60,1
107,1543263223.9292178,172,-1
108,1543263223.9499433,60,1
109,1543263223.964394,172,-1
110,1543263223.9783542,172,-1
111,1543263223.9999864,60,1
112,1543263224.0211804,172,-1
113,1543263224.0218313,285,-1
114,1543263224.0218537,190,-1
115,1543263224.0218694,1514,-1
116,1543263224.0218904,1514,-1
117,1543263224.0219078,1287,-1
118,1543263224.0219383,136,-1
119,1543263224.0220284,92,-1
120,1543263224.0221395,172,-1
121,1543263224.0414064,172,-1
122,1543263224.0559974,172,-1
123,1543263224.0561593,60,1
124,1543263224.062224,60,1
125,1543263224.0622263,60,1
126,1543263224.0622272,60,1
127,1543263224.0786135,172,-1
128,1543263224.0904777,172,-1
129,1543263224.0906339,60,1
130,1543263224.1184993,172,-1
131,1543263224.1258724,60,1
132,1543263224.1392808,172,-1
133,1543263224.153266,172,-1
134,1543263224.1674204,172,-1
135,1543263224.1737814,144,1
136,1543263224.1737835,92,1
137,1543263224.1761305,54,-1
138,1543263224.1889527,60,1
139,1543263224.2030015,172,-1
140,1543263224.2170484,172,-1
141,1543263224.2311544,172,-1
142,1543263224.2386959,60,1
143,1543263224.2525778,172,-1
144,1543263224.2673106,60,1
145,1543263224.2799435,172,-1
146,1543263224.3013897,172,-1
147,1543263224.3156412,172,-1
148,1543263224.3157697,60,1
149,1543263224.3294024,172,-1
150,1543263224.355019,60,1
151,1543263224.3644054,172,-1
152,1543263224.3783963,172,-1
153,1543263224.392095,172,-1
154,1543263224.3989437,60,1
155,1543263224.412311,172,-1
156,1543263224.428069,60,1
157,1543263224.4402244,172,-1
158,1543263224.4602084,172,-1
159,1543263224.474281,172,-1
160,1543263224.4770873,60,1
161,1543263224.4886394,172,-1
162,1543263224.5099099,60,1
163,1543263224.5232759,172,-1
164,1543263224.5373046,172,-1
165,1543263224.5517287,172,-1
166,1543263224.5602434,60,1
167,1543263224.5736897,172,-1
168,1543263224.5872328,60,1
169,1543263224.6011298,172,-1
170,1543263224.6145191,172,-1
171,1543263224.6354268,172,-1
172,1543263224.636196,60,1
173,1543263224.6492147,172,-1
174,1543263224.672713,60,1
175,1543263224.68455,172,-1
176,1543263224.7158196,172,-1
177,1543263224.7161002,172,-1
178,1543263224.721021,60,1
179,1543263224.726574,172,-1
180,1543263224.75187,60,1
181,1543263224.7618787,172,-1
182,1543263224.7752235,172,-1
183,1543263224.7966583,172,-1
184,1543263224.797517,60,1
185,1543263224.8092434,172,-1
186,1543263224.8327227,60,1
187,1543263224.844676,172,-1
188,1543263224.858379,172,-1
189,1543263224.8724148,172,-1
190,1543263224.8846087,60,1
191,1543263224.8864818,172,-1
192,1543263224.9097357,60,1
193,1543263224.9215708,172,-1
194,1543263224.9355538,172,-1
195,1543263224.9562576,172,-1
196,1543263224.96436,60,1
197,1543263224.9708433,172,-1
198,1543263224.9925451,60,1
199,1543263224.9982564,172,-1
200,1543263225.0191514,172,-1
201,1543263225.0336022,172,-1
202,1543263225.0422146,60,1
203,1543263225.0473602,172,-1
204,1543263225.0695374,60,1
205,1543263225.0841527,172,-1
206,1543263225.0964565,172,-1
207,1543263225.1103997,172,-1
208,1543263225.1198812,60,1
209,1543263225.1315997,172,-1
210,1543263225.1486495,60,1
211,1543263225.1594138,172,-1
212,1543263225.1800191,172,-1
213,1543263225.194248,172,-1
214,1543263225.1947796,60,1
215,1543263225.2086701,172,-1
216,1543263225.2335997,60,1
217,1543263225.2432814,172,-1
218,1543263225.2563868,172,-1
219,1543263225.2716315,172,-1
220,1543263225.2824292,60,1
221,1543263225.2915227,172,-1
222,1543263225.3068197,60,1
223,1543263225.3196027,172,-1
224,1543263225.3403187,172,-1
225,1543263225.3542142,172,-1
226,1543263225.3588169,60,1
227,1543263225.3684714,172,-1
228,1543263225.3890948,60,1
229,1543263225.4211872,172,-1
230,1543263225.421335,172,-1
231,1543263225.4315763,172,-1
232,1543263225.4516945,60,1
233,1543263225.4526143,172,-1
234,1543263225.458709,60,1
235,1543263225.4665523,60,1
236,1543263225.4805596,172,-1
237,1543263225.49017,60,1
238,1543263225.4943962,172,-1
239,1543263225.5159962,60,1
240,1543263225.517197,172,-1
241,1543263225.5289116,172,-1
242,1543263225.5293221,60,1
243,1543263225.5564733,60,1
244,1543263225.564208,172,-1
245,1543263225.5664456,60,1
246,1543263225.577887,172,-1
247,1543263225.5924165,172,-1
248,1543263225.6029449,60,1
249,1543263225.6061573,172,-1
250,1543263225.6124992,60,1
251,1543263225.6277332,60,1
252,1543263225.6412022,172,-1
253,1543263225.6439965,60,1
254,1543263225.655259,172,-1
255,1543263225.676176,172,-1
256,1543263225.6801,60,1
257,1543263225.690298,172,-1
258,1543263225.6945932,60,1
259,1543263225.7137978,60,1
260,1543263225.717768,172,-1
261,1543263225.729652,60,1
262,1543263225.738933,172,-1
263,1543263225.7536445,172,-1
264,1543263225.7538066,60,1
265,1543263225.767343,172,-1
266,1543263225.7741017,60,1
267,1543263225.7888749,60,1
268,1543263225.8021524,172,-1
269,1543263225.803336,60,1
270,1543263225.8158424,172,-1
271,1543263225.8366055,172,-1
272,1543263225.8384566,60,1
273,1543263225.8506613,172,-1
274,1543263225.8530102,60,1
275,1543263225.8744774,60,1
276,1543263225.8789206,172,-1
277,1543263225.8862107,60,1
278,1543263225.8996906,172,-1
279,1543263225.914729,172,-1
280,1543263225.9152622,60,1
281,1543263225.9284546,172,-1
282,1543263225.9346588,60,1
283,1543263225.9504817,60,1
284,1543263225.963302,172,-1
285,1543263225.9678502,60,1
286,1543263225.9770107,172,-1
287,1543263225.9950752,172,-1
288,1543263226.0030901,60,1
289,1543263226.0126004,172,-1
290,1543263226.0127351,60,1
291,1543263226.03374,60,1
292,1543263226.0403552,172,-1
293,1543263226.0480149,60,1
294,1543263226.061023,172,-1
295,1543263226.075038,172,-1
296,1543263226.0801394,60,1
297,1543263226.0888617,172,-1
298,1543263226.0990386,60,1
299,1543263226.1149123,60,1
300,1543263226.124275,172,-1
301,1543263226.1250458,60,1
302,1543263226.1387408,172,-1
303,1543263226.1592648,172,-1
304,1543263226.1630442,60,1
305,1543263226.1693695,172,-1
306,1543263226.179031,60,1
307,1543263226.1950932,60,1
308,1543263226.2012448,172,-1
309,1543263226.2061937,60,1
310,1543263226.2153494,172,-1
