Serial number,time,size,direction
1,1540485785.302153,54,1
2,1540485787.525036,95,1
3,1540485787.5413086,60,-1
4,1540485787.5413115,95,-1
5,1540485787.5431943,54,1
6,1540485793.0112374,278,1
7,1540485793.0546114,1100,1
8,1540485793.0569522,1291,1
9,1540485793.0573494,1291,1
10,1540485793.0587282,491,1
11,1540485793.0709605,60,-1
12,1540485793.0736747,60,-1
13,1540485793.0784268,891,1
14,1540485793.094742,60,-1
15,1540485793.095953,491,1
16,1540485793.096295,1514,1
17,1540485793.1053193,1031,1
18,1540485793.1075318,1514,1
19,1540485793.107565,1514,1
20,1540485793.1137748,60,-1
21,1540485793.1217153,99,-1
22,1540485793.1240082,60,-1
23,1540485793.1271298,1514,1
24,1540485793.1274936,1514,1
25,1540485793.139253,1514,1
26,1540485793.1406348,1376,1
27,1540485793.143865,60,-1
28,1540485793.1570742,60,-1
29,1540485793.168976,491,1
30,1540485793.1711545,211,-1
31,1540485793.208946,491,1
32,1540485793.2252,60,-1
33,1540485793.253504,491,1
34,1540485793.308264,491,1
35,1540485793.3159158,60,-1
36,1540485793.3245215,60,-1
37,1540485793.3767698,491,1
38,1540485793.3929157,60,-1
39,1540485793.3975556,491,1
40,1540485793.4138324,60,-1
41,1540485793.4675045,491,1
42,1540485793.4837844,60,-1
43,1540485793.4998996,491,1
44,1540485793.5161746,60,-1
45,1540485793.562578,491,1
46,1540485793.578819,60,-1
47,1540485793.6064928,491,1
48,1540485793.6228673,60,-1
49,1540485793.6357625,60,-1
50,1540485793.6532707,491,1
51,1540485793.6694698,60,-1
52,1540485793.6980865,54,1
53,1540485793.7076368,491,1
54,1540485793.7238493,60,-1
55,1540485793.7706633,491,1
56,1540485793.7868629,60,-1
57,1540485793.8071,491,1
58,1540485793.8232872,60,-1
59,1540485793.8666728,491,1
60,1540485793.8828843,60,-1
61,1540485793.8990457,491,1
62,1540485793.9152539,60,-1
63,1540485793.970377,491,1
64,1540485793.986755,60,-1
65,1540485794.0119934,491,1
66,1540485794.0283341,60,-1
67,1540485794.0530977,491,1
68,1540485794.0693974,60,-1
69,1540485794.102255,491,1
70,1540485794.1185546,60,-1
71,1540485794.1677282,491,1
72,1540485794.1839583,60,-1
73,1540485794.199068,491,1
74,1540485794.2153022,60,-1
75,1540485794.2640142,491,1
76,1540485794.2802384,60,-1
77,1540485794.2943144,491,1
78,1540485794.3105855,60,-1
79,1540485794.3606837,491,1
80,1540485794.3769276,60,-1
81,1540485794.406687,491,1
82,1540485794.4228985,60,-1
83,1540485794.459143,491,1
84,1540485794.4754877,60,-1
85,1540485794.5032296,491,1
86,1540485794.5196035,60,-1
87,1540485794.5696297,491,1
88,1540485794.5859296,60,-1
89,1540485794.6005957,491,1
90,1540485794.6168568,60,-1
91,1540485794.6664891,491,1
92,1540485794.682712,60,-1
93,1540485794.699354,491,1
94,1540485794.7155387,60,-1
95,1540485794.7649884,491,1
96,1540485794.7811646,60,-1
97,1540485794.8140235,491,1
98,1540485794.815218,150,-1
99,1540485794.8484988,54,1
100,1540485794.8527203,491,1
101,1540485794.8690119,60,-1
102,1540485794.9015868,491,1
103,1540485794.96599,60,-1
104,1540485794.970459,491,1
105,1540485794.9868672,60,-1
106,1540485794.998329,491,1
107,1540485795.0145853,60,-1
108,1540485795.0641928,491,1
109,1540485795.080502,60,-1
110,1540485795.0972013,491,1
111,1540485795.1134942,60,-1
112,1540485795.1354418,167,-1
113,1540485795.1724937,491,1
114,1540485795.1736758,54,1
115,1540485795.2177274,491,1
116,1540485795.2339256,60,-1
117,1540485795.2998452,491,1
118,1540485795.3049624,491,1
119,1540485795.3213248,60,-1
120,1540485795.3964417,491,1
121,1540485795.4128537,99,-1
122,1540485795.4517493,491,1
123,1540485795.4518883,54,1
124,1540485795.4693184,491,1
125,1540485795.4856198,60,-1
126,1540485795.5274837,491,1
127,1540485795.5628138,491,1
128,1540485795.579079,60,-1
129,1540485795.6129553,491,1
