Serial number,time,size,direction
1,1540291470.8093157,107,1
2,1540291470.8142753,54,-1
3,1540291472.8136728,60,1
4,1540291472.8546185,54,-1
5,1540291481.4049895,291,-1
6,1540291481.41783,1514,-1
7,1540291481.4215689,60,-1
8,1540291481.4215891,385,-1
9,1540291481.4345288,60,-1
10,1540291481.4380887,60,-1
11,1540291481.4523845,1514,-1
12,1540291481.4526525,1514,-1
13,1540291481.452684,371,-1
14,1540291481.4645698,491,-1
15,1540291481.469026,60,-1
16,1540291481.4693184,60,-1
17,1540291481.4693205,60,-1
18,1540291481.4811556,60,-1
19,1540291481.4864852,491,-1
20,1540291481.4868367,928,-1
21,1540291481.5030057,60,-1
22,1540291481.5033903,60,-1
23,1540291481.528679,491,-1
24,1540291481.5452576,60,-1
25,1540291481.5517287,1514,-1
26,1540291481.5572631,231,-1
27,1540291481.5683672,60,-1
28,1540291481.573787,60,-1
29,1540291481.6073043,1514,-1
30,1540291481.6075466,1431,-1
31,1540291481.6091263,491,-1
32,1540291481.6091607,491,-1
33,1540291481.6091866,491,-1
34,1540291481.6092093,1514,-1
35,1540291481.6123106,1514,-1
36,1540291481.6146002,1514,-1
37,1540291481.6146336,1514,-1
38,1540291481.6146576,1514,-1
39,1540291481.6146972,435,-1
40,1540291481.6239893,60,-1
41,1540291481.6241832,60,-1
42,1540291481.6256201,60,-1
43,1540291481.6256223,60,-1
44,1540291481.6279693,491,-1
45,1540291481.660338,60,-1
46,1540291481.660478,99,-1
47,1540291481.6650796,221,-1
48,1540291481.7423413,491,-1
49,1540291481.742929,491,-1
50,1540291481.7429683,54,-1
51,1540291481.759551,60,-1
52,1540291481.7976918,491,-1
53,1540291481.8229125,491,-1
54,1540291481.839589,60,-1
55,1540291481.8944788,491,-1
56,1540291481.9339385,491,-1
57,1540291481.950449,60,-1
58,1540291481.9780834,491,-1
59,1540291482.0311909,491,-1
60,1540291482.0415964,60,-1
61,1540291482.047743,60,-1
62,1540291482.0929585,491,-1
63,1540291482.109605,60,-1
64,1540291482.1265905,491,-1
65,1540291482.1431463,60,-1
66,1540291482.190585,491,-1
67,1540291482.2071793,60,-1
68,1540291482.2229128,491,-1
69,1540291482.239547,60,-1
70,1540291482.2884088,491,-1
71,1540291482.3049924,60,-1
72,1540291482.3320568,491,-1
73,1540291482.3487983,60,-1
74,1540291482.3840055,491,-1
75,1540291482.4005983,60,-1
76,1540291482.4284916,491,-1
77,1540291482.4449935,60,-1
78,1540291482.4930096,491,-1
79,1540291482.5097163,60,-1
80,1540291482.527221,491,-1
81,1540291482.543847,60,-1
82,1540291482.5952284,491,-1
83,1540291482.6119013,60,-1
84,1540291482.6181672,491,-1
85,1540291482.6347644,60,-1
86,1540291482.6857982,491,-1
87,1540291482.7025096,60,-1
88,1540291482.7331169,491,-1
89,1540291482.7498338,60,-1
90,1540291482.7802608,491,-1
91,1540291482.7968814,60,-1
92,1540291482.8287535,491,-1
93,1540291482.8454127,60,-1
94,1540291482.8938897,491,-1
95,1540291482.9104474,60,-1
96,1540291482.9246058,491,-1
97,1540291482.9411037,60,-1
98,1540291482.988719,491,-1
99,1540291483.0052955,60,-1
100,1540291483.018948,491,-1
101,1540291483.0354414,60,-1
102,1540291483.0894816,491,-1
103,1540291483.1059895,60,-1
104,1540291483.1345177,491,-1
105,1540291483.1510587,60,-1
106,1540291483.1827831,491,-1
107,1540291483.1992772,60,-1
108,1540291483.2334342,491,-1
109,1540291483.2499688,60,-1
110,1540291483.2979007,491,-1
111,1540291483.3147035,60,-1
112,1540291483.3270664,491,-1
113,1540291483.3436558,60,-1
114,1540291483.3919485,491,-1
115,1540291483.4084857,60,-1
116,1540291483.4177039,491,-1
117,1540291483.434278,60,-1
118,1540291483.4342792,99,-1
119,1540291483.4844708,54,-1
120,1540291483.4879532,491,-1
121,1540291483.5333488,491,-1
122,1540291483.5498424,60,-1
123,1540291483.5789585,491,-1
124,1540291483.62996,491,-1
125,1540291483.6464932,60,-1
126,1540291483.6990874,491,-1
127,1540291483.7244356,491,-1
128,1540291483.7410462,60,-1
129,1540291483.7931051,491,-1
130,1540291483.819976,491,-1
131,1540291483.836671,60,-1
132,1540291483.9014008,491,-1
133,1540291483.9349098,491,-1
134,1540291483.9514494,60,-1
135,1540291483.9979634,491,-1
136,1540291484.0351472,491,-1
137,1540291484.0517457,60,-1
138,1540291484.0927856,491,-1
139,1540291484.126155,491,-1
140,1540291484.1427412,60,-1
141,1540291484.1900647,491,-1
142,1540291484.2202756,491,-1
143,1540291484.2369614,60,-1
144,1540291484.2918909,491,-1
145,1540291484.3086174,99,-1
146,1540291484.3100686,54,-1
147,1540291484.33511,491,-1
148,1540291484.3851876,491,-1
149,1540291484.4017143,60,-1
150,1540291484.429753,491,-1
151,1540291484.4939172,491,-1
152,1540291484.5017273,60,-1
153,1540291484.5105712,60,-1
154,1540291484.5254607,491,-1
155,1540291484.542184,60,-1
156,1540291484.5899684,491,-1
157,1540291484.6066027,60,-1
158,1540291484.621301,491,-1
159,1540291484.6379633,60,-1
160,1540291484.6972933,491,-1
161,1540291484.7138608,60,-1
162,1540291484.7362504,491,-1
163,1540291484.7528615,60,-1
164,1540291484.7831187,491,-1
165,1540291484.7996917,60,-1
166,1540291484.8322868,491,-1
167,1540291484.8489163,60,-1
168,1540291484.895026,491,-1
169,1540291484.911692,60,-1
170,1540291484.927876,491,-1
171,1540291484.9444654,60,-1
172,1540291484.99448,491,-1
173,1540291485.0110605,60,-1
174,1540291485.018704,491,-1
175,1540291485.0353901,60,-1
176,1540291485.0473456,152,-1
177,1540291485.0845916,54,-1
178,1540291485.0862448,491,-1
179,1540291485.1375327,491,-1
180,1540291485.1540856,60,-1
181,1540291485.1830103,491,-1
182,1540291485.2309377,491,-1
183,1540291485.2475696,60,-1
184,1540291485.29572,491,-1
185,1540291485.326868,491,-1
186,1540291485.3435462,60,-1
187,1540291485.3770201,174,-1
188,1540291485.3996096,491,-1
189,1540291485.3998146,54,-1
190,1540291485.4209704,491,-1
191,1540291485.4375684,60,-1
192,1540291485.5017107,491,-1
193,1540291485.5351582,491,-1
194,1540291485.5516207,60,-1
195,1540291485.5862947,491,-1
196,1540291485.6384037,491,-1
197,1540291485.6549044,60,-1
198,1540291485.6963794,491,-1
199,1540291485.727218,491,-1
200,1540291485.7437572,60,-1
201,1540291485.7878268,491,-1
202,1540291485.8286893,491,-1
203,1540291485.8451664,60,-1
204,1540291485.868196,244,-1
205,1540291485.8685489,1514,-1
206,1540291485.868636,1514,-1
207,1540291485.8688335,1186,-1
208,1540291485.8720639,54,-1
209,1540291485.8722115,54,-1
210,1540291485.8768964,1514,-1
211,1540291485.877019,1514,-1
212,1540291485.8772006,1267,-1
213,1540291485.877204,121,-1
214,1540291485.8795593,54,-1
215,1540291485.8829613,54,-1
216,1540291485.8831027,99,-1
217,1540291485.888968,491,-1
218,1540291485.905568,60,-1
219,1540291485.9316294,1514,-1
220,1540291485.9317281,1514,-1
221,1540291485.9318168,1267,-1
222,1540291485.9319503,1514,-1
223,1540291485.9320347,1514,-1
224,1540291485.9320357,328,-1
225,1540291485.932165,1030,-1
226,1540291485.9323642,1514,-1
227,1540291485.93399,54,-1
228,1540291485.934977,54,-1
229,1540291485.9365735,54,-1
230,1540291485.938717,491,-1
231,1540291485.9505959,1514,-1
232,1540291485.950798,1514,-1
233,1540291485.9515512,1514,-1
234,1540291485.9517412,1514,-1
235,1540291485.9530673,1514,-1
236,1540291485.9530685,144,-1
237,1540291485.9546902,54,-1
238,1540291485.9547763,54,-1
239,1540291485.954951,54,-1
240,1540291485.9637957,1514,-1
241,1540291485.9653974,54,-1
242,1540291485.9712744,1514,-1
243,1540291485.9714065,1514,-1
244,1540291485.9715204,1514,-1
245,1540291485.971648,1514,-1
246,1540291485.9717693,1514,-1
247,1540291485.9719656,1514,-1
248,1540291485.973337,54,-1
249,1540291485.974162,54,-1
250,1540291485.9750288,54,-1
251,1540291485.9819734,1514,-1
252,1540291485.9821017,1514,-1
253,1540291485.9822962,1514,-1
254,1540291485.9842265,54,-1
255,1540291485.9848523,99,-1
256,1540291485.9849381,99,-1
257,1540291485.9879706,491,-1
258,1540291485.9899244,1514,-1
259,1540291485.9901116,1190,-1
260,1540291486.0015192,60,-1
261,1540291486.0116305,1514,-1
262,1540291486.0117376,1514,-1
263,1540291486.0118575,1267,-1
264,1540291486.011981,1514,-1
265,1540291486.012103,1514,-1
266,1540291486.012121,241,-1
267,1540291486.0121253,176,-1
268,1540291486.0127833,54,-1
269,1540291486.0148592,54,-1
270,1540291486.0157552,54,-1
271,1540291486.0160408,54,-1
272,1540291486.0294268,1514,-1
273,1540291486.0294487,91,-1
274,1540291486.0295842,91,-1
275,1540291486.029631,1514,-1
276,1540291486.031471,1514,-1
277,1540291486.0316975,1514,-1
278,1540291486.0322351,54,-1
279,1540291486.0323787,1514,-1
280,1540291486.0324821,1514,-1
281,1540291486.0326903,1128,-1
282,1540291486.0343258,54,-1
283,1540291486.0346224,1514,-1
284,1540291486.0348444,1514,-1
285,1540291486.0353258,54,-1
286,1540291486.036624,54,-1
287,1540291486.0461082,1514,-1
288,1540291486.0477002,54,-1
289,1540291486.048822,1514,-1
290,1540291486.0490375,1514,-1
291,1540291486.0509675,1514,-1
292,1540291486.0510468,54,-1
293,1540291486.051178,1514,-1
294,1540291486.0519598,1514,-1
295,1540291486.0521681,1514,-1
296,1540291486.0533187,1514,-1
297,1540291486.0535307,1514,-1
298,1540291486.0555663,54,-1
299,1540291486.0564969,99,-1
300,1540291486.0566473,99,-1
301,1540291486.0569184,54,-1
302,1540291486.0643044,1514,-1
303,1540291486.064518,1514,-1
304,1540291486.0664773,54,-1
305,1540291486.067666,1514,-1
306,1540291486.0677793,1514,-1
307,1540291486.0721636,1514,-1
308,1540291486.0723796,1514,-1
309,1540291486.073066,60,-1
310,1540291486.0735195,1514,-1
311,1540291486.0737376,1514,-1
312,1540291486.0830855,1514,-1
313,1540291486.0833008,1514,-1
314,1540291486.0994484,54,-1
315,1540291486.1009612,54,-1
316,1540291486.105924,54,-1
317,1540291486.1060529,54,-1
318,1540291486.1161036,1514,-1
319,1540291486.1163306,1514,-1
320,1540291486.1163325,1514,-1
321,1540291486.1165488,1514,-1
322,1540291486.1175745,1514,-1
323,1540291486.1177895,1514,-1
324,1540291486.1184926,54,-1
325,1540291486.1191802,54,-1
326,1540291486.1195107,54,-1
327,1540291486.1219459,395,-1
328,1540291486.1225548,1514,-1
329,1540291486.122686,1514,-1
330,1540291486.1228235,1514,-1
331,1540291486.1230178,1514,-1
332,1540291486.1262538,54,-1
333,1540291486.1265287,54,-1
334,1540291486.1351292,1514,-1
335,1540291486.1353595,1514,-1
336,1540291486.1358335,1514,-1
337,1540291486.1360185,1514,-1
338,1540291486.1361446,1514,-1
339,1540291486.136359,1514,-1
340,1540291486.1377861,99,-1
341,1540291486.1379187,99,-1
342,1540291486.1387446,54,-1
343,1540291486.1397521,54,-1
344,1540291486.1429188,1514,-1
345,1540291486.1430414,1514,-1
346,1540291486.1431837,1514,-1
347,1540291486.1432936,1514,-1
348,1540291486.143497,1514,-1
349,1540291486.1445282,54,-1
350,1540291486.1462176,54,-1
351,1540291486.1463666,54,-1
352,1540291486.1544757,1514,-1
353,1540291486.1553543,1514,-1
354,1540291486.1555784,1514,-1
355,1540291486.1563349,1514,-1
356,1540291486.1565526,1514,-1
357,1540291486.1611416,1514,-1
358,1540291486.1613584,1514,-1
359,1540291486.1628392,1514,-1
360,1540291486.1629667,1514,-1
361,1540291486.1631076,1514,-1
362,1540291486.1632152,1514,-1
363,1540291486.163427,1514,-1
364,1540291486.17348,54,-1
365,1540291486.1737661,54,-1
366,1540291486.1738951,54,-1
367,1540291486.1740217,54,-1
368,1540291486.1741483,54,-1
369,1540291486.1742773,54,-1
370,1540291486.1900969,1514,-1
371,1540291486.1902373,1514,-1
372,1540291486.190365,1514,-1
373,1540291486.1904933,1514,-1
374,1540291486.19061,1514,-1
375,1540291486.1907341,1514,-1
376,1540291486.1908545,1514,-1
377,1540291486.1909823,1514,-1
378,1540291486.1911016,1514,-1
379,1540291486.1912255,1514,-1
380,1540291486.191345,1514,-1
381,1540291486.1915665,1514,-1
382,1540291486.2081614,99,-1
383,1540291486.208308,99,-1
384,1540291486.2097893,54,-1
385,1540291486.2100475,54,-1
386,1540291486.221005,54,-1
387,1540291486.221281,54,-1
388,1540291486.221409,54,-1
389,1540291486.2248187,1514,-1
390,1540291486.2264273,1514,-1
391,1540291486.2264488,54,-1
392,1540291486.2265737,1514,-1
393,1540291486.2266748,1514,-1
394,1540291486.2268815,1514,-1
395,1540291486.2293637,54,-1
396,1540291486.230923,54,-1
397,1540291486.2376037,1514,-1
398,1540291486.2378268,1514,-1
399,1540291486.2379563,1514,-1
400,1540291486.2380812,1514,-1
401,1540291486.2381997,1514,-1
402,1540291486.2384129,1514,-1
403,1540291486.2430706,1514,-1
404,1540291486.2432876,1514,-1
405,1540291486.2452495,54,-1
406,1540291486.2459915,1514,-1
407,1540291486.2462237,1514,-1
408,1540291486.2475052,1514,-1
409,1540291486.2477043,669,-1
410,1540291486.2589428,54,-1
411,1540291486.2592344,54,-1
412,1540291486.259503,54,-1
413,1540291486.25963,54,-1
414,1540291486.2597613,54,-1
415,1540291486.2598839,99,-1
416,1540291486.2600045,99,-1
417,1540291486.2618454,1514,-1
418,1540291486.2620792,1514,-1
419,1540291486.2667646,54,-1
420,1540291486.2743933,1514,-1
421,1540291486.2758262,1514,-1
422,1540291486.275946,1514,-1
423,1540291486.2760954,1514,-1
424,1540291486.276271,1514,-1
425,1540291486.2763953,1514,-1
426,1540291486.2765033,1514,-1
427,1540291486.276637,1514,-1
428,1540291486.276754,1514,-1
429,1540291486.2768788,1514,-1
430,1540291486.2769966,1514,-1
431,1540291486.2770007,60,-1
432,1540291486.2776353,54,-1
433,1540291486.2792833,54,-1
434,1540291486.2795658,54,-1
435,1540291486.283394,1514,-1
436,1540291486.2836108,1514,-1
437,1540291486.2914586,54,-1
438,1540291486.291738,54,-1
439,1540291486.2918668,54,-1
440,1540291486.2942595,1514,-1
441,1540291486.2944815,1514,-1
442,1540291486.2959023,1514,-1
443,1540291486.2959242,54,-1
444,1540291486.296072,1514,-1
445,1540291486.2961972,1514,-1
446,1540291486.2964003,1514,-1
447,1540291486.2984009,54,-1
448,1540291486.2987282,54,-1
449,1540291486.2990081,99,-1
450,1540291486.2991395,99,-1
451,1540291486.3081274,1514,-1
452,1540291486.3082561,1514,-1
453,1540291486.308379,1514,-1
454,1540291486.3085008,1514,-1
455,1540291486.3086224,1514,-1
456,1540291486.3088489,1514,-1
457,1540291486.3103685,54,-1
458,1540291486.3111033,54,-1
459,1540291486.3125677,1514,-1
460,1540291486.3127844,1514,-1
461,1540291486.3150046,1514,-1
462,1540291486.3152301,1514,-1
463,1540291486.3153777,1514,-1
464,1540291486.3155375,1514,-1
465,1540291486.3155396,60,-1
466,1540291486.3174684,54,-1
467,1540291486.3269715,1514,-1
468,1540291486.3270528,1514,-1
469,1540291486.3272257,505,-1
470,1540291486.33062,54,-1
471,1540291486.3314865,54,-1
472,1540291486.3325696,54,-1
473,1540291486.3334846,54,-1
474,1540291486.3346927,54,-1
475,1540291486.345379,1514,-1
476,1540291486.3453817,121,-1
477,1540291486.3455796,1514,-1
478,1540291486.345783,1514,-1
479,1540291486.347208,1514,-1
480,1540291486.347429,1514,-1
481,1540291486.3480988,1514,-1
482,1540291486.3481202,54,-1
483,1540291486.3482556,54,-1
484,1540291486.348337,1514,-1
485,1540291486.3491528,1514,-1
486,1540291486.3493671,1514,-1
487,1540291486.3501177,1514,-1
488,1540291486.3502042,54,-1
489,1540291486.3503199,1514,-1
490,1540291486.3505278,54,-1
491,1540291486.3506577,99,-1
492,1540291486.350786,99,-1
493,1540291486.3512535,1123,-1
494,1540291486.3528361,54,-1
495,1540291486.3529744,54,-1
496,1540291486.3672884,60,-1
497,1540291486.3709342,1065,-1
498,1540291486.3711278,1514,-1
499,1540291486.371252,1514,-1
500,1540291486.371349,1267,-1
501,1540291486.3714368,1514,-1
502,1540291486.3715339,812,-1
503,1540291486.371615,1514,-1
504,1540291486.3716793,546,-1
505,1540291486.3718412,1514,-1
506,1540291486.3719482,1514,-1
507,1540291486.3720305,1267,-1
508,1540291486.3721538,1331,-1
509,1540291486.372351,1420,-1
510,1540291486.3730013,54,-1
511,1540291486.3743129,54,-1
512,1540291486.3752892,54,-1
513,1540291486.376132,54,-1
514,1540291486.3791833,54,-1
515,1540291486.3800597,54,-1
516,1540291486.3811698,54,-1
517,1540291486.3896058,1160,-1
518,1540291486.4044743,549,-1
519,1540291486.4049423,1514,-1
520,1540291486.4049447,1514,-1
521,1540291486.405091,1267,-1
522,1540291486.4052136,1514,-1
523,1540291486.4052157,1328,-1
524,1540291486.4053323,1490,-1
525,1540291486.4055285,1514,-1
526,1540291486.4055307,1514,-1
527,1540291486.405652,1267,-1
528,1540291486.4057758,1514,-1
529,1540291486.405778,387,-1
530,1540291486.4058888,1420,-1
531,1540291486.4061015,1102,-1
532,1540291486.4117384,54,-1
533,1540291486.4129028,54,-1
534,1540291486.4138303,54,-1
535,1540291486.4148374,54,-1
536,1540291486.415967,54,-1
537,1540291486.4179971,99,-1
538,1540291486.4183323,54,-1
539,1540291486.4184606,99,-1
540,1540291486.4186132,54,-1
541,1540291486.4283247,141,-1
542,1540291486.434968,60,-1
543,1540291486.4354305,1514,-1
544,1540291486.435556,1514,-1
545,1540291486.435632,1267,-1
546,1540291486.4357555,1514,-1
547,1540291486.4358506,1514,-1
548,1540291486.4359853,334,-1
549,1540291486.4359875,974,-1
550,1540291486.4361281,1514,-1
551,1540291486.4362338,1514,-1
552,1540291486.4363291,1267,-1
553,1540291486.4364054,1514,-1
554,1540291486.4365125,903,-1
555,1540291486.4366157,1420,-1
556,1540291486.436618,586,-1
557,1540291486.4368007,657,-1
558,1540291486.4399037,54,-1
559,1540291486.4407964,54,-1
560,1540291486.4418674,54,-1
561,1540291486.4448674,54,-1
562,1540291486.445092,54,-1
563,1540291486.4452584,54,-1
564,1540291486.4462805,54,-1
565,1540291486.4465556,54,-1
566,1540291486.4606519,1514,-1
567,1540291486.4606578,1514,-1
568,1540291486.4608536,1267,-1
569,1540291486.461493,1514,-1
570,1540291486.4616199,1514,-1
571,1540291486.4617753,334,-1
572,1540291486.4617772,458,-1
573,1540291486.4619317,1514,-1
574,1540291486.4620526,1514,-1
575,1540291486.4621499,1267,-1
576,1540291486.4622612,1514,-1
577,1540291486.4624722,1419,-1
578,1540291486.4629116,1514,-1
579,1540291486.4631155,1095,-1
580,1540291486.4646323,1514,-1
581,1540291486.464867,1514,-1
582,1540291486.4664092,54,-1
583,1540291486.4665706,54,-1
584,1540291486.4671872,54,-1
585,1540291486.4684248,99,-1
586,1540291486.4685829,99,-1
587,1540291486.4687128,54,-1
588,1540291486.470174,54,-1
589,1540291486.48309,1514,-1
590,1540291486.4833717,1514,-1
591,1540291486.4833767,1514,-1
592,1540291486.4835196,1514,-1
593,1540291486.4838386,1514,-1
594,1540291486.4840703,1514,-1
595,1540291486.4850225,1046,-1
596,1540291486.4897628,54,-1
597,1540291486.490063,54,-1
598,1540291486.491139,54,-1
599,1540291486.5253751,54,-1
