Serial number,time,size,direction
1,1540285170.635323,107,1
2,1540285170.6759539,54,-1
3,1540285172.6496797,60,1
4,1540285172.6830628,54,-1
5,1540285176.4884226,288,-1
6,1540285176.4920917,939,-1
7,1540285176.508818,60,-1
8,1540285176.5562973,1514,-1
9,1540285176.5565548,631,-1
10,1540285176.5583968,491,-1
11,1540285176.5584261,491,-1
12,1540285176.5585043,491,-1
13,1540285176.5585551,491,-1
14,1540285176.558588,491,-1
15,1540285176.5586371,491,-1
16,1540285176.5771527,60,-1
17,1540285176.5795493,1514,-1
18,1540285176.5812793,1514,-1
19,1540285176.5813591,630,-1
20,1540285176.5981245,60,-1
21,1540285176.6089911,491,-1
22,1540285176.609378,928,-1
23,1540285176.6238499,491,-1
24,1540285176.625432,491,-1
25,1540285176.6254606,491,-1
26,1540285176.6255138,491,-1
27,1540285176.6255934,60,-1
28,1540285176.6256404,491,-1
29,1540285176.627447,1514,-1
30,1540285176.6289988,1514,-1
31,1540285176.6404524,60,-1
32,1540285176.6420474,60,-1
33,1540285176.6421843,60,-1
34,1540285176.6438167,1504,-1
35,1540285176.6444097,491,-1
36,1540285176.644587,216,-1
37,1540285176.6459131,99,-1
38,1540285176.6481166,54,-1
39,1540285176.649351,54,-1
40,1540285176.661103,60,-1
41,1540285176.678855,491,-1
42,1540285176.747388,491,-1
43,1540285176.7545514,60,-1
44,1540285176.764014,60,-1
45,1540285176.789298,491,-1
46,1540285176.8058288,60,-1
47,1540285176.838711,491,-1
48,1540285176.855299,60,-1
49,1540285176.8975277,491,-1
50,1540285176.9142585,60,-1
51,1540285176.9492126,491,-1
52,1540285176.965868,60,-1
53,1540285176.9771085,491,-1
54,1540285176.9937892,60,-1
55,1540285177.04915,491,-1
56,1540285177.0657477,60,-1
57,1540285177.0782428,491,-1
58,1540285177.0947962,60,-1
59,1540285177.1412103,491,-1
60,1540285177.1578782,60,-1
61,1540285177.186699,491,-1
62,1540285177.2033267,60,-1
63,1540285177.2355967,491,-1
64,1540285177.2522905,60,-1
65,1540285177.2827923,491,-1
66,1540285177.2994368,60,-1
67,1540285177.3461566,491,-1
68,1540285177.3626945,60,-1
69,1540285177.3804696,491,-1
70,1540285177.3971403,60,-1
71,1540285177.4456472,491,-1
72,1540285177.4622917,60,-1
73,1540285177.4770792,491,-1
74,1540285177.4937036,60,-1
75,1540285177.5504282,491,-1
76,1540285177.5673077,60,-1
77,1540285177.5891993,491,-1
78,1540285177.6059234,60,-1
79,1540285177.638171,491,-1
80,1540285177.6548955,60,-1
81,1540285177.686796,491,-1
82,1540285177.7034943,60,-1
83,1540285177.7525053,491,-1
84,1540285177.7690926,60,-1
85,1540285177.7835798,491,-1
86,1540285177.8002093,60,-1
87,1540285177.8490546,491,-1
88,1540285177.865741,60,-1
89,1540285177.8794012,491,-1
90,1540285177.8963556,60,-1
91,1540285177.9444377,491,-1
92,1540285177.961133,60,-1
93,1540285177.991258,491,-1
94,1540285178.0081139,60,-1
95,1540285178.0381725,491,-1
96,1540285178.0549052,60,-1
97,1540285178.093385,491,-1
98,1540285178.1100664,60,-1
99,1540285178.1534128,491,-1
100,1540285178.1700935,60,-1
101,1540285178.1785126,491,-1
102,1540285178.1952558,60,-1
103,1540285178.2494917,491,-1
104,1540285178.2661605,60,-1
105,1540285178.2776423,491,-1
106,1540285178.294313,60,-1
107,1540285178.3022237,165,-1
108,1540285178.3372133,491,-1
109,1540285178.3875794,491,-1
110,1540285178.3946004,60,-1
111,1540285178.4044254,60,-1
112,1540285178.434823,491,-1
113,1540285178.444857,173,-1
114,1540285178.4514668,60,-1
115,1540285178.4848738,54,-1
116,1540285178.4851675,491,-1
117,1540285178.5017793,60,-1
118,1540285178.5560555,491,-1
119,1540285178.5727766,60,-1
120,1540285178.581437,491,-1
121,1540285178.5980806,60,-1
122,1540285178.6449263,491,-1
123,1540285178.6616752,60,-1
124,1540285178.6843102,491,-1
125,1540285178.701736,60,-1
126,1540285178.7493875,491,-1
127,1540285178.7660756,60,-1
128,1540285178.7958841,491,-1
129,1540285178.813119,60,-1
130,1540285178.833508,491,-1
131,1540285178.8487396,274,-1
132,1540285178.8495393,1514,-1
133,1540285178.8497167,779,-1
134,1540285178.8502536,54,-1
135,1540285178.8508976,99,-1
136,1540285178.856896,54,-1
137,1540285178.8575857,1514,-1
138,1540285178.857695,1514,-1
139,1540285178.8578079,1267,-1
140,1540285178.8579042,1514,-1
141,1540285178.8579056,439,-1
142,1540285178.870318,54,-1
143,1540285178.8713994,54,-1
144,1540285178.8716269,54,-1
145,1540285178.8724358,54,-1
146,1540285178.8727565,54,-1
147,1540285178.8739583,54,-1
148,1540285178.874176,54,-1
149,1540285178.8916733,491,-1
150,1540285178.8918388,99,-1
151,1540285178.89503,1514,-1
152,1540285178.8951306,1514,-1
153,1540285178.8952315,1267,-1
154,1540285178.8953607,1514,-1
155,1540285178.89543,1514,-1
156,1540285178.8955977,328,-1
157,1540285178.8955986,1030,-1
158,1540285178.8957207,1514,-1
159,1540285178.8958194,1514,-1
160,1540285178.895939,1267,-1
161,1540285178.8960261,1514,-1
162,1540285178.8961205,847,-1
163,1540285178.8963249,1514,-1
164,1540285178.9084535,60,-1
165,1540285178.9329045,54,-1
166,1540285178.9331472,54,-1
167,1540285178.9332652,54,-1
168,1540285178.9333713,54,-1
169,1540285178.9334764,54,-1
170,1540285178.9335814,54,-1
171,1540285178.9427521,54,-1
172,1540285178.9501162,1514,-1
173,1540285178.9502451,1514,-1
174,1540285178.9503434,1514,-1
175,1540285178.9504519,1514,-1
176,1540285178.9505632,1514,-1
177,1540285178.9506845,1514,-1
178,1540285178.9508102,1514,-1
179,1540285178.9509313,1514,-1
180,1540285178.9510102,1514,-1
181,1540285178.9510128,212,-1
182,1540285178.9521663,491,-1
183,1540285178.9552395,54,-1
184,1540285178.955389,54,-1
185,1540285178.9554799,54,-1
186,1540285178.9574146,54,-1
187,1540285178.9576528,54,-1
188,1540285178.9836278,491,-1
189,1540285179.000594,60,-1
190,1540285179.0101645,91,-1
191,1540285179.0103078,91,-1
192,1540285179.0239656,304,-1
193,1540285179.026813,60,-1
194,1540285179.084754,60,-1
195,1540285179.5600731,160,-1
196,1540285179.5858428,153,-1
197,1540285179.5880399,54,-1
198,1540285185.2079494,176,-1
199,1540285185.224485,60,-1
200,1540285191.7015398,77,-1
201,1540285191.7188833,77,-1
202,1540285191.720891,66,-1
203,1540285201.2296426,77,-1
204,1540285201.234589,66,-1
205,1540285207.5182161,285,-1
206,1540285207.5186925,944,-1
207,1540285207.5227072,1514,-1
208,1540285207.52404,231,-1
209,1540285207.5347452,60,-1
210,1540285207.53527,60,-1
211,1540285207.5393798,60,-1
212,1540285207.540505,60,-1
213,1540285207.5437527,1514,-1
214,1540285207.544747,231,-1
215,1540285207.5447786,491,-1
216,1540285207.5448518,1514,-1
217,1540285207.5448885,231,-1
218,1540285207.544911,491,-1
219,1540285207.5460181,491,-1
220,1540285207.546941,491,-1
221,1540285207.5606074,60,-1
222,1540285207.5613067,60,-1
223,1540285207.5613093,60,-1
224,1540285207.561507,60,-1
225,1540285207.5615091,60,-1
226,1540285207.5625606,60,-1
227,1540285207.562788,1514,-1
228,1540285207.5634434,60,-1
229,1540285207.563765,1514,-1
230,1540285207.5637972,1067,-1
231,1540285207.5643928,928,-1
232,1540285207.5657678,491,-1
233,1540285207.566185,491,-1
234,1540285207.5794652,60,-1
235,1540285207.580474,60,-1
236,1540285207.5804758,60,-1
237,1540285207.5810957,60,-1
238,1540285207.582296,60,-1
239,1540285207.5827034,60,-1
240,1540285207.5827053,99,-1
241,1540285207.5922146,1514,-1
242,1540285207.5927126,1514,-1
243,1540285207.592746,1514,-1
244,1540285207.5934198,1496,-1
245,1540285207.6094244,60,-1
246,1540285207.6101186,60,-1
247,1540285207.6404767,491,-1
248,1540285207.6420255,491,-1
249,1540285207.6459625,212,-1
250,1540285207.6585965,60,-1
251,1540285207.6830957,54,-1
252,1540285207.6845167,491,-1
253,1540285207.7447486,60,-1
254,1540285207.748216,491,-1
255,1540285207.7647693,60,-1
256,1540285207.7943344,491,-1
257,1540285207.8109732,60,-1
258,1540285207.8600843,491,-1
259,1540285207.8767393,60,-1
260,1540285207.8790543,491,-1
261,1540285207.8957045,60,-1
262,1540285207.940742,491,-1
263,1540285207.9574525,60,-1
264,1540285207.9891288,491,-1
265,1540285208.005725,60,-1
266,1540285208.0370536,491,-1
267,1540285208.0536287,60,-1
268,1540285208.1059647,491,-1
269,1540285208.1224709,60,-1
270,1540285208.1595578,491,-1
271,1540285208.1760814,60,-1
272,1540285208.1829555,491,-1
273,1540285208.199484,60,-1
274,1540285208.247775,491,-1
275,1540285208.2642927,60,-1
276,1540285208.272743,491,-1
277,1540285208.2893307,60,-1
278,1540285208.345146,491,-1
279,1540285208.3618808,60,-1
280,1540285208.4105282,491,-1
281,1540285208.427141,60,-1
282,1540285208.4339225,491,-1
283,1540285208.4504855,60,-1
284,1540285208.4813397,491,-1
285,1540285208.4981065,60,-1
286,1540285208.5538096,491,-1
287,1540285208.5704017,60,-1
288,1540285208.5795949,491,-1
289,1540285208.5961382,60,-1
290,1540285208.6451569,491,-1
291,1540285208.6616926,60,-1
292,1540285208.6814988,491,-1
293,1540285208.6980414,60,-1
294,1540285208.7439206,491,-1
295,1540285208.7606,60,-1
296,1540285208.7878456,491,-1
297,1540285208.804453,60,-1
298,1540285208.8363023,491,-1
299,1540285208.8529606,60,-1
300,1540285208.8856697,491,-1
301,1540285208.9022388,60,-1
302,1540285208.9519308,491,-1
303,1540285208.9685628,60,-1
304,1540285208.9887755,491,-1
305,1540285209.005363,60,-1
306,1540285209.047557,491,-1
307,1540285209.0641768,60,-1
308,1540285209.079923,491,-1
309,1540285209.0964878,60,-1
310,1540285209.144472,491,-1
311,1540285209.1610284,60,-1
312,1540285209.19002,491,-1
313,1540285209.2065272,60,-1
314,1540285209.23857,491,-1
315,1540285209.255067,60,-1
316,1540285209.2808473,491,-1
317,1540285209.2973983,60,-1
318,1540285209.3533533,491,-1
319,1540285209.369969,60,-1
320,1540285209.3775654,491,-1
321,1540285209.3941753,60,-1
322,1540285209.4460745,491,-1
323,1540285209.4626951,60,-1
324,1540285209.4738545,491,-1
325,1540285209.4904966,60,-1
326,1540285209.4904997,99,-1
327,1540285209.4922488,54,-1
328,1540285209.5451167,491,-1
329,1540285209.5942063,491,-1
330,1540285209.6047876,60,-1
331,1540285209.6108267,60,-1
332,1540285209.6345758,491,-1
333,1540285209.6511369,60,-1
334,1540285209.6878686,491,-1
335,1540285209.7044184,60,-1
336,1540285209.756381,491,-1
337,1540285209.7729812,60,-1
338,1540285209.7796538,491,-1
339,1540285209.7961953,60,-1
340,1540285209.8456728,491,-1
341,1540285209.8621953,60,-1
342,1540285209.8921201,491,-1
343,1540285209.9093144,60,-1
344,1540285209.9574425,491,-1
345,1540285209.9741027,60,-1
346,1540285209.9906425,491,-1
347,1540285210.0073326,60,-1
348,1540285210.0377946,491,-1
349,1540285210.0544047,60,-1
350,1540285210.0866601,491,-1
351,1540285210.0877333,150,-1
352,1540285210.0890963,54,-1
353,1540285210.1527867,491,-1
354,1540285210.1547914,60,-1
355,1540285210.1692958,60,-1
356,1540285210.1826813,491,-1
357,1540285210.1992207,60,-1
358,1540285210.2068129,174,-1
359,1540285210.2080736,54,-1
360,1540285210.2519095,491,-1
361,1540285210.2768743,491,-1
362,1540285210.2935677,60,-1
363,1540285210.3403432,491,-1
364,1540285210.389403,491,-1
365,1540285210.4059863,60,-1
366,1540285210.4433098,491,-1
367,1540285210.443614,216,-1
368,1540285210.4441764,1514,-1
369,1540285210.4443576,779,-1
370,1540285210.4448805,54,-1
371,1540285210.4465845,54,-1
372,1540285210.4477851,54,-1
373,1540285210.4523299,1514,-1
374,1540285210.4525113,1514,-1
375,1540285210.452513,1267,-1
376,1540285210.4525905,1514,-1
377,1540285210.4525917,439,-1
378,1540285210.4708693,99,-1
379,1540285210.472046,54,-1
380,1540285210.4729605,54,-1
381,1540285210.4873948,60,-1
382,1540285210.48754,491,-1
383,1540285210.4899473,1514,-1
384,1540285210.490067,1514,-1
385,1540285210.4900684,1267,-1
386,1540285210.4903188,1514,-1
387,1540285210.4903207,1514,-1
388,1540285210.4908063,328,-1
389,1540285210.4908104,1030,-1
390,1540285210.4908118,1514,-1
391,1540285210.4908133,1514,-1
392,1540285210.4912317,1267,-1
393,1540285210.491239,1514,-1
394,1540285210.4912405,847,-1
395,1540285210.4912422,1514,-1
396,1540285210.4913723,511,-1
397,1540285210.4939923,54,-1
398,1540285210.496218,54,-1
399,1540285210.4967973,54,-1
400,1540285210.5042648,1514,-1
401,1540285210.5044546,1514,-1
402,1540285210.5071945,54,-1
403,1540285210.507435,54,-1
404,1540285210.5075302,54,-1
405,1540285210.507617,54,-1
406,1540285210.5077167,54,-1
407,1540285210.5109065,1514,-1
408,1540285210.5112956,1514,-1
409,1540285210.513103,1514,-1
410,1540285210.5133116,1514,-1
411,1540285210.5135245,1514,-1
412,1540285210.5136547,1514,-1
413,1540285210.5138702,1178,-1
414,1540285210.518986,54,-1
415,1540285210.5191917,54,-1
416,1540285210.5192976,54,-1
417,1540285210.521902,99,-1
418,1540285210.5504215,491,-1
419,1540285210.5669863,60,-1
420,1540285210.5856419,491,-1
421,1540285210.5941684,91,-1
422,1540285210.594249,91,-1
423,1540285210.6106377,60,-1
424,1540285210.6305165,304,-1
