Serial number,time,size,direction
1,1540292279.3869283,95,1
2,1540292279.4038577,95,-1
3,1540292279.4053423,54,1
4,1540292281.9200675,77,-1
5,1540292281.925382,66,1
6,1540292284.462122,287,1
7,1540292284.4621944,1078,1
8,1540292284.4627018,819,1
9,1540292284.4630735,1078,1
10,1540292284.463103,267,1
11,1540292284.4647503,1078,1
12,1540292284.4647856,1078,1
13,1540292284.4648094,443,1
14,1540292284.4737282,491,1
15,1540292284.4742877,491,1
16,1540292284.4789243,60,-1
17,1540292284.4802933,60,-1
18,1540292284.480834,1078,1
19,1540292284.4812355,778,1
20,1540292284.4814641,60,-1
21,1540292284.4910119,60,-1
22,1540292284.4978886,60,-1
23,1540292284.509486,491,1
24,1540292284.5104208,491,1
25,1540292284.5104525,491,1
26,1540292284.5104759,491,1
27,1540292284.510499,491,1
28,1540292284.5105214,491,1
29,1540292284.5119143,491,1
30,1540292284.5163991,891,1
31,1540292284.5243614,1078,1
32,1540292284.525705,667,1
33,1540292284.5269842,60,-1
34,1540292284.5269868,60,-1
35,1540292284.5273376,60,-1
36,1540292284.5329926,60,-1
37,1540292284.5342216,491,1
38,1540292284.5422218,60,-1
39,1540292284.5453548,1078,1
40,1540292284.5457246,667,1
41,1540292284.5481572,491,1
42,1540292284.5485291,491,1
43,1540292284.5526412,491,1
44,1540292284.5552866,491,1
45,1540292284.5620275,60,-1
46,1540292284.5648015,60,-1
47,1540292284.5682719,491,1
48,1540292284.5692585,60,-1
49,1540292284.5848472,60,-1
50,1540292284.5997646,491,1
51,1540292284.6019607,217,-1
52,1540292284.6032858,54,1
53,1540292284.6578586,60,-1
54,1540292284.6730785,491,1
55,1540292284.6898851,60,-1
56,1540292284.7044926,491,1
57,1540292284.7212572,60,-1
58,1540292284.7679,491,1
59,1540292284.7845275,60,-1
60,1540292284.8234198,491,1
61,1540292284.8401172,60,-1
62,1540292284.8701923,491,1
63,1540292284.886818,60,-1
64,1540292284.9103365,491,1
65,1540292284.9269292,60,-1
66,1540292284.9689572,491,1
67,1540292284.989108,60,-1
68,1540292284.9965928,491,1
69,1540292285.0132134,60,-1
70,1540292285.0680728,491,1
71,1540292285.1073537,491,1
72,1540292285.1239164,60,-1
73,1540292285.1551673,491,1
74,1540292285.2117126,491,1
75,1540292285.2279396,60,-1
76,1540292285.269113,491,1
77,1540292285.277836,60,-1
78,1540292285.3040104,491,1
79,1540292285.3131673,60,-1
80,1540292285.320641,60,-1
81,1540292285.3671257,491,1
82,1540292285.3839333,60,-1
83,1540292285.3923187,491,1
84,1540292285.4089396,60,-1
85,1540292285.4682555,491,1
86,1540292285.4848335,60,-1
87,1540292285.5235927,491,1
88,1540292285.5401697,60,-1
89,1540292285.558203,491,1
90,1540292285.5748954,60,-1
91,1540292285.6018853,491,1
92,1540292285.6184587,60,-1
93,1540292285.6711342,491,1
94,1540292285.6878178,60,-1
95,1540292285.7040534,491,1
96,1540292285.7227628,60,-1
97,1540292285.7656624,491,1
98,1540292285.782415,60,-1
99,1540292285.7969403,491,1
100,1540292285.8135197,60,-1
101,1540292285.8670561,491,1
102,1540292285.8836331,60,-1
103,1540292285.9088864,491,1
104,1540292285.9254494,60,-1
105,1540292285.9580932,491,1
106,1540292285.9748502,60,-1
107,1540292285.9999156,491,1
108,1540292286.0164733,60,-1
109,1540292286.0730138,491,1
110,1540292286.0895767,60,-1
111,1540292286.1055238,491,1
112,1540292286.1221287,60,-1
113,1540292286.1658516,491,1
114,1540292286.1824334,60,-1
115,1540292286.2195866,491,1
116,1540292286.236127,60,-1
117,1540292286.2650754,491,1
118,1540292286.269006,173,-1
119,1540292286.2704072,54,1
120,1540292286.3076065,491,1
121,1540292286.3241003,60,-1
122,1540292286.3568525,491,1
123,1540292286.4092858,173,-1
124,1540292286.4095323,491,1
125,1540292286.4476905,54,1
126,1540292286.467816,60,-1
127,1540292286.4700677,491,1
128,1540292286.4863071,203,1
129,1540292286.4865725,60,-1
130,1540292286.502889,60,-1
131,1540292286.537472,491,1
132,1540292286.553976,60,-1
133,1540292286.5541334,99,-1
134,1540292286.5555534,54,1
135,1540292286.560199,491,1
136,1540292286.5936837,491,1
137,1540292286.6101868,60,-1
138,1540292286.6671846,491,1
139,1540292286.7080781,491,1
140,1540292286.724631,60,-1
141,1540292286.7336245,520,-1
142,1540292286.734048,1514,-1
143,1540292286.7341213,1514,-1
144,1540292286.7341232,158,-1
145,1540292286.739436,1514,-1
146,1540292286.7395523,1514,-1
147,1540292286.7396336,1267,-1
148,1540292286.7396348,391,-1
149,1540292286.750699,54,1
150,1540292286.7514007,54,1
151,1540292286.7522414,54,1
152,1540292286.7530434,54,1
153,1540292286.7781322,1514,-1
154,1540292286.7782416,1514,-1
155,1540292286.7783499,1267,-1
156,1540292286.7784867,1514,-1
157,1540292286.7785604,1514,-1
158,1540292286.778715,328,-1
159,1540292286.7787158,1030,-1
160,1540292286.7788432,1514,-1
161,1540292286.7789428,1514,-1
162,1540292286.7790642,1267,-1
163,1540292286.7791367,1514,-1
164,1540292286.7792501,847,-1
165,1540292286.7793329,1514,-1
166,1540292286.7793577,511,-1
167,1540292286.7795062,601,-1
168,1540292286.780838,54,1
169,1540292286.781953,54,1
170,1540292286.7826874,54,1
171,1540292286.7836213,54,1
172,1540292286.7846243,54,1
173,1540292286.7866645,54,1
174,1540292286.7867422,54,1
175,1540292286.7918243,491,1
176,1540292286.7919765,99,1
177,1540292286.8011065,1514,-1
178,1540292286.8012192,1514,-1
179,1540292286.8013291,1267,-1
180,1540292286.8014765,1514,-1
181,1540292286.8015215,1514,-1
182,1540292286.8016858,334,-1
183,1540292286.8016868,514,-1
184,1540292286.801842,1514,-1
185,1540292286.80192,1514,-1
186,1540292286.8020458,1267,-1
187,1540292286.8021696,1514,-1
188,1540292286.8022625,1363,-1
189,1540292286.802444,1287,-1
190,1540292286.8035004,54,1
191,1540292286.8044307,54,1
192,1540292286.8060794,491,1
193,1540292286.806227,54,1
194,1540292286.8063095,54,1
195,1540292286.8080971,99,1
196,1540292286.8081744,54,1
197,1540292286.8085477,99,-1
