Serial number,time,size,direction
1,1540269953.5586357,77,1
2,1540269953.560916,66,-1
3,1540269955.2645023,95,-1
4,1540269955.2812552,95,-1
5,1540269955.2829256,54,-1
6,1540269956.6496365,77,-1
7,1540269956.6670454,77,1
8,1540269956.6785579,66,-1
9,1540269958.215749,781,-1
10,1540269958.2158806,266,-1
11,1540269958.232791,60,-1
12,1540269958.2712727,1514,-1
13,1540269958.2726266,1431,-1
14,1540269958.288788,491,-1
15,1540269958.2896118,60,-1
16,1540269958.2931564,491,-1
17,1540269958.2945921,491,-1
18,1540269958.294608,491,-1
19,1540269958.3105395,60,-1
20,1540269958.312042,60,-1
21,1540269958.3342392,491,-1
22,1540269958.3361764,491,-1
23,1540269958.345858,218,-1
24,1540269958.3529425,60,-1
25,1540269958.3576367,491,-1
26,1540269958.358019,491,-1
27,1540269958.3580341,491,-1
28,1540269958.3580453,1514,-1
29,1540269958.358059,54,-1
30,1540269958.3654988,1514,-1
31,1540269958.3659732,1245,-1
32,1540269958.374882,60,-1
33,1540269958.3792312,1514,-1
34,1540269958.3796942,1514,-1
35,1540269958.3799124,845,-1
36,1540269958.3825252,60,-1
37,1540269958.3860788,99,-1
38,1540269958.3864434,928,-1
39,1540269958.38676,491,-1
40,1540269958.3879187,491,-1
41,1540269958.3963828,60,-1
42,1540269958.4043496,60,-1
43,1540269958.40561,60,-1
44,1540269958.450613,491,-1
45,1540269958.474533,491,-1
46,1540269958.4912083,60,-1
47,1540269958.546555,491,-1
48,1540269958.5916655,491,-1
49,1540269958.605786,60,-1
50,1540269958.6083157,60,-1
51,1540269958.639511,491,-1
52,1540269958.6561742,60,-1
53,1540269958.6856406,491,-1
54,1540269958.7034848,60,-1
55,1540269958.7547731,491,-1
56,1540269958.771619,60,-1
57,1540269958.7784739,491,-1
58,1540269958.795479,60,-1
59,1540269958.8491237,491,-1
60,1540269958.8662634,60,-1
61,1540269958.8797052,491,-1
62,1540269958.896521,60,-1
63,1540269958.943797,491,-1
64,1540269958.9605627,60,-1
65,1540269958.9904249,491,-1
66,1540269959.01263,60,-1
67,1540269959.0488539,491,-1
68,1540269959.0656,60,-1
69,1540269959.0832586,491,-1
70,1540269959.099953,60,-1
71,1540269959.1642828,491,-1
72,1540269959.1810975,60,-1
73,1540269959.192278,491,-1
74,1540269959.2090907,60,-1
75,1540269959.2581031,491,-1
76,1540269959.274882,60,-1
77,1540269959.277668,491,-1
78,1540269959.2948737,60,-1
79,1540269959.3508418,491,-1
80,1540269959.3674543,60,-1
81,1540269959.4255264,491,-1
82,1540269959.4391215,491,-1
83,1540269959.442266,60,-1
84,1540269959.4558802,60,-1
85,1540269959.4872096,491,-1
86,1540269959.5045202,60,-1
87,1540269959.5541682,491,-1
88,1540269959.5708961,60,-1
89,1540269959.581328,491,-1
90,1540269959.5980487,60,-1
91,1540269959.651719,491,-1
92,1540269959.6684542,60,-1
93,1540269959.6755114,491,-1
94,1540269959.6926906,60,-1
95,1540269959.747778,491,-1
96,1540269959.7648447,60,-1
97,1540269959.792058,491,-1
98,1540269959.808941,60,-1
99,1540269959.840556,491,-1
100,1540269959.8577049,60,-1
101,1540269959.887962,491,-1
102,1540269959.9046347,60,-1
103,1540269959.9542513,491,-1
104,1540269959.9713018,60,-1
105,1540269959.984484,491,-1
106,1540269960.0011468,60,-1
107,1540269960.0454578,491,-1
108,1540269960.0623937,60,-1
109,1540269960.0760968,491,-1
110,1540269960.0927608,60,-1
111,1540269960.1716003,491,-1
112,1540269960.188779,60,-1
113,1540269960.2004445,491,-1
114,1540269960.2173648,60,-1
115,1540269960.2448683,491,-1
116,1540269960.2618628,60,-1
117,1540269960.3231547,491,-1
118,1540269960.339795,60,-1
119,1540269960.3539553,491,-1
120,1540269960.3707333,60,-1
121,1540269960.3949301,491,-1
122,1540269960.4120677,60,-1
123,1540269960.4630356,491,-1
124,1540269960.4797583,60,-1
125,1540269960.5104647,491,-1
126,1540269960.5271692,60,-1
127,1540269960.5566878,491,-1
128,1540269960.5733418,60,-1
129,1540269960.5733442,99,-1
130,1540269960.599339,491,-1
131,1540269960.6454175,491,-1
132,1540269960.6620688,60,-1
133,1540269960.6625602,186,-1
134,1540269960.7182982,491,-1
135,1540269960.7807698,491,-1
136,1540269960.7835588,491,-1
137,1540269960.786044,60,-1
138,1540269960.7975087,60,-1
139,1540269960.8003256,60,-1
140,1540269960.8496284,491,-1
141,1540269960.8664598,60,-1
142,1540269960.8801405,491,-1
143,1540269960.943565,491,-1
144,1540269960.9603114,60,-1
145,1540269960.9909673,491,-1
146,1540269961.040839,491,-1
147,1540269961.0576515,60,-1
148,1540269961.0981872,491,-1
149,1540269961.1150413,60,-1
150,1540269961.1341271,175,-1
151,1540269961.154226,491,-1
152,1540269961.1893635,491,-1
153,1540269961.206128,60,-1
154,1540269961.2313998,187,-1
155,1540269961.2647512,491,-1
156,1540269961.2814648,60,-1
157,1540269961.2821975,491,-1
158,1540269961.3152435,950,-1
159,1540269961.3448527,491,-1
160,1540269961.3972056,491,-1
161,1540269961.4057274,91,-1
162,1540269961.406066,91,-1
163,1540269961.4141881,60,-1
164,1540269961.4233768,60,-1
165,1540269961.556176,88,-1
166,1540269961.5880344,152,-1
167,1540269961.5912504,154,-1
168,1540269961.5923102,74,-1
169,1540269961.6017501,74,-1
170,1540269961.603083,66,-1
171,1540269961.613867,294,-1
172,1540269961.6157033,151,-1
173,1540269961.6173193,54,-1
174,1540269961.623466,66,-1
175,1540269961.6283324,1514,-1
176,1540269961.6284275,1514,-1
177,1540269961.6285548,1514,-1
178,1540269961.628556,174,-1
179,1540269961.6333401,66,-1
180,1540269961.6335893,66,-1
181,1540269961.634859,66,-1
182,1540269961.6351604,66,-1
183,1540269961.7308238,192,-1
184,1540269961.740363,324,-1
185,1540269961.7424366,66,-1
186,1540269961.745814,765,-1
187,1540269961.7601886,541,-1
188,1540269961.760439,97,-1
189,1540269961.7604399,66,-1
190,1540269961.7651005,97,-1
191,1540269961.7654278,66,-1
192,1540269961.773975,60,-1
193,1540269961.9042764,74,-1
194,1540269961.9143977,74,-1
195,1540269961.9162657,66,-1
196,1540269961.9203038,583,-1
197,1540269961.9308488,66,-1
198,1540269961.9335082,218,-1
199,1540269961.935338,66,-1
200,1540269961.9515593,117,-1
201,1540269962.0023928,66,-1
202,1540269962.0071023,769,-1
203,1540269962.0170374,66,-1
204,1540269962.024743,546,-1
205,1540269962.0248992,1514,-1
