Serial number,time,size,direction
1,1540487195.7391043,54,1
2,1540487197.5068011,77,1
3,1540487197.5242655,77,-1
4,1540487197.526101,66,1
5,1540487201.464513,287,1
6,1540487201.4806685,60,-1
7,1540487201.5310962,942,1
8,1540487201.547072,1514,1
9,1540487201.5473278,60,-1
10,1540487201.549334,1514,1
11,1540487201.549365,1171,1
12,1540487201.5558486,891,1
13,1540487201.5633724,60,-1
14,1540487201.5656278,60,-1
15,1540487201.56563,60,-1
16,1540487201.5720801,60,-1
17,1540487201.5764737,1514,1
18,1540487201.5779505,1514,1
19,1540487201.5863507,1267,1
20,1540487201.5867977,1195,1
21,1540487201.5928328,60,-1
22,1540487201.594265,60,-1
23,1540487201.5961683,491,1
24,1540487201.5977123,491,1
25,1540487201.6026695,60,-1
26,1540487201.6030407,60,-1
27,1540487201.604893,1514,1
28,1540487201.6062846,631,1
29,1540487201.6123347,60,-1
30,1540487201.6138797,60,-1
31,1540487201.621239,60,-1
32,1540487201.6225083,60,-1
33,1540487201.63291,491,1
34,1540487201.6335309,491,1
35,1540487201.6344283,491,1
36,1540487201.635053,491,1
37,1540487201.6366324,491,1
38,1540487201.649109,60,-1
39,1540487201.6497037,60,-1
40,1540487201.650635,60,-1
41,1540487201.6509209,1514,1
42,1540487201.6512597,60,-1
43,1540487201.6515734,1514,1
44,1540487201.6523407,193,1
45,1540487201.6528282,60,-1
46,1540487201.6661983,491,1
47,1540487201.6679537,60,-1
48,1540487201.6685135,60,-1
49,1540487201.6745882,212,-1
50,1540487201.6760638,54,1
51,1540487201.7019157,491,1
52,1540487201.7180805,60,-1
53,1540487201.7431688,491,1
54,1540487201.799944,491,1
55,1540487201.8019354,60,-1
56,1540487201.8161693,60,-1
57,1540487201.8631442,491,1
58,1540487201.8794358,60,-1
59,1540487201.8899822,491,1
60,1540487201.9061852,60,-1
61,1540487201.9539785,491,1
62,1540487201.9703577,60,-1
63,1540487201.9858077,491,1
64,1540487202.00211,60,-1
65,1540487202.0517378,491,1
66,1540487202.068012,60,-1
67,1540487202.0983558,491,1
68,1540487202.114628,60,-1
69,1540487202.1489813,491,1
70,1540487202.1652477,60,-1
71,1540487202.1917408,491,1
72,1540487202.2079453,60,-1
73,1540487202.263372,491,1
74,1540487202.2795844,60,-1
75,1540487202.2880123,491,1
76,1540487202.304186,60,-1
77,1540487202.3599002,491,1
78,1540487202.3760753,60,-1
79,1540487202.395565,491,1
80,1540487202.4117806,60,-1
81,1540487202.455694,491,1
82,1540487202.4719496,60,-1
83,1540487202.501231,491,1
84,1540487202.517544,60,-1
85,1540487202.549521,491,1
86,1540487202.5658278,60,-1
87,1540487202.5962994,491,1
88,1540487202.6125703,60,-1
89,1540487202.6597717,491,1
90,1540487202.676001,60,-1
91,1540487202.6911426,491,1
92,1540487202.7137027,60,-1
93,1540487202.7585766,491,1
94,1540487202.7747982,60,-1
95,1540487202.784591,491,1
96,1540487202.8008091,60,-1
97,1540487202.856328,491,1
98,1540487202.8725429,60,-1
99,1540487202.8999739,491,1
100,1540487202.9162035,60,-1
101,1540487202.9471123,491,1
102,1540487202.9633842,60,-1
103,1540487202.9944186,491,1
104,1540487203.0107577,60,-1
105,1540487203.0582404,491,1
106,1540487203.0746996,60,-1
107,1540487203.0885508,491,1
108,1540487203.104875,60,-1
109,1540487203.160408,491,1
110,1540487203.1766062,60,-1
111,1540487203.1880298,491,1
112,1540487203.204227,60,-1
113,1540487203.2562234,491,1
114,1540487203.2724175,60,-1
115,1540487203.3093326,491,1
116,1540487203.3255439,60,-1
117,1540487203.3481007,491,1
118,1540487203.3642936,60,-1
119,1540487203.3955042,491,1
120,1540487203.411692,60,-1
121,1540487203.4591932,491,1
122,1540487203.4754224,60,-1
123,1540487203.4755092,99,-1
124,1540487203.491543,491,1
125,1540487203.5078576,99,-1
126,1540487203.5570097,491,1
127,1540487203.5873277,491,1
128,1540487203.6035497,60,-1
129,1540487203.65988,491,1
130,1540487203.6993387,491,1
131,1540487203.715634,60,-1
132,1540487203.7496405,491,1
133,1540487203.8058424,491,1
134,1540487203.8119705,60,-1
135,1540487203.8220606,60,-1
136,1540487203.8672109,491,1
137,1540487203.8834198,60,-1
138,1540487203.8910427,491,1
139,1540487203.9072154,60,-1
140,1540487203.9997587,491,1
141,1540487204.0000124,491,1
142,1540487204.016086,60,-1
143,1540487204.0162346,60,-1
144,1540487204.062076,491,1
145,1540487204.078361,60,-1
146,1540487204.109874,491,1
147,1540487204.126209,60,-1
148,1540487204.1477902,491,1
149,1540487204.1640308,60,-1
150,1540487204.2490854,491,1
151,1540487204.2652156,60,-1
152,1540487204.2669425,491,1
153,1540487204.283088,60,-1
154,1540487204.314792,491,1
155,1540487204.330975,60,-1
156,1540487204.4477491,491,1
157,1540487204.4481606,491,1
158,1540487204.4525192,491,1
159,1540487204.4639535,60,-1
160,1540487204.4644094,60,-1
161,1540487204.4687247,60,-1
162,1540487204.502658,151,-1
163,1540487204.5129418,491,1
164,1540487204.5292594,60,-1
165,1540487204.548437,491,1
166,1540487204.5646963,60,-1
167,1540487204.6003878,491,1
168,1540487204.6166723,60,-1
169,1540487204.6615427,491,1
170,1540487204.6778164,60,-1
171,1540487204.6935592,491,1
172,1540487204.7101967,60,-1
173,1540487204.7533922,172,-1
174,1540487204.7569072,491,1
175,1540487204.7731729,60,-1
176,1540487204.790183,491,1
177,1540487204.8063836,60,-1
178,1540487204.866748,491,1
179,1540487204.8829792,60,-1
180,1540487204.9318848,491,1
181,1540487204.9480793,491,1
182,1540487204.948122,60,-1
183,1540487204.9642594,60,-1
184,1540487205.0026093,491,1
185,1540487205.0188098,60,-1
186,1540487205.0434313,217,-1
187,1540487205.0438201,1514,-1
188,1540487205.0440214,998,-1
189,1540487205.0477562,54,1
190,1540487205.0496886,1514,-1
191,1540487205.0496955,1514,-1
192,1540487205.0498984,1267,-1
193,1540487205.0499012,409,-1
194,1540487205.0583856,54,1
195,1540487205.0588324,54,1
196,1540487205.061593,491,1
197,1540487205.095264,1514,-1
198,1540487205.095268,1514,-1
199,1540487205.0957346,1267,-1
200,1540487205.0957372,1514,-1
201,1540487205.0957391,1514,-1
202,1540487205.0957463,328,-1
203,1540487205.095748,1030,-1
204,1540487205.096048,1514,-1
205,1540487205.0960503,1514,-1
206,1540487205.0960522,1267,-1
207,1540487205.0962977,1514,-1
208,1540487205.0963001,847,-1
209,1540487205.0963416,1514,-1
210,1540487205.0965064,511,-1
211,1540487205.0982373,491,1
212,1540487205.1127615,54,1
213,1540487205.1130319,54,1
214,1540487205.1131709,54,1
215,1540487205.1133034,54,1
216,1540487205.113425,54,1
217,1540487205.1135552,54,1
218,1540487205.1136756,54,1
219,1540487205.1241786,99,1
220,1540487205.1292665,1514,-1
221,1540487205.1292717,1514,-1
222,1540487205.1297517,1514,-1
223,1540487205.1297543,1514,-1
224,1540487205.1297562,1514,-1
225,1540487205.1297581,1514,-1
226,1540487205.1299062,1514,-1
227,1540487205.1300082,1514,-1
228,1540487205.1301215,1514,-1
229,1540487205.1302507,1514,-1
230,1540487205.1303842,1514,-1
231,1540487205.1304972,1514,-1
232,1540487205.1306205,1514,-1
233,1540487205.1307204,1514,-1
234,1540487205.1308131,1514,-1
235,1540487205.131006,1059,-1
236,1540487205.1326404,54,1
237,1540487205.1337306,54,1
238,1540487205.1339915,54,1
239,1540487205.1406207,1514,-1
240,1540487205.1408024,709,-1
241,1540487205.1409755,176,-1
242,1540487205.1409776,1514,-1
243,1540487205.1410987,1514,-1
244,1540487205.1411986,1267,-1
245,1540487205.1414208,1514,-1
246,1540487205.148942,1514,-1
247,1540487205.149119,649,-1
248,1540487205.1935678,91,1
249,1540487205.1938603,91,1
250,1540487205.1940598,54,1
251,1540487205.1942124,54,1
252,1540487205.1943233,54,1
253,1540487205.19442,99,1
254,1540487205.1945214,54,1
255,1540487205.1946228,54,1
256,1540487205.1947227,54,1
257,1540487205.1948311,99,1
258,1540487205.210074,60,-1
259,1540487205.2109613,60,-1
260,1540487205.251965,303,1
261,1540487205.3120117,60,-1
262,1540487205.6346529,159,-1
263,1540487205.6538785,154,-1
264,1540487205.6559718,54,1
265,1540487213.4816258,176,1
266,1540487213.4978287,60,-1
267,1540487223.936049,54,1
268,1540487227.5987744,77,1
269,1540487227.6161048,77,-1
270,1540487227.6179628,66,1
271,1540487228.4977956,77,-1
272,1540487228.5028656,66,1
273,1540487235.4787424,290,1
274,1540487235.494955,60,-1
275,1540487235.5349827,946,1
276,1540487235.5433524,1291,1
277,1540487235.5450644,491,1
278,1540487235.5450933,491,1
279,1540487235.5512533,60,-1
280,1540487235.5596693,60,-1
281,1540487235.5615253,60,-1
282,1540487235.5615275,60,-1
283,1540487235.5786426,491,1
284,1540487235.587548,1291,1
285,1540487235.5887675,491,1
286,1540487235.5932229,491,1
287,1540487235.5940902,491,1
288,1540487235.5948348,60,-1
289,1540487235.6011777,491,1
290,1540487235.6038394,60,-1
291,1540487235.6049578,60,-1
292,1540487235.6053252,1514,1
293,1540487235.6068265,1514,1
294,1540487235.609446,60,-1
295,1540487235.6102607,60,-1
296,1540487235.6111844,1514,1
297,1540487235.612023,1514,1
298,1540487235.6173484,60,-1
299,1540487235.6191792,1514,1
300,1540487235.6206741,1309,1
301,1540487235.6216393,60,-1
302,1540487235.623123,60,-1
303,1540487235.6263165,1514,1
304,1540487235.6275704,60,-1
305,1540487235.6277843,631,1
306,1540487235.6283627,60,-1
307,1540487235.635481,60,-1
308,1540487235.6369288,60,-1
309,1540487235.6439967,60,-1
310,1540487235.6493442,491,1
311,1540487235.655816,216,-1
312,1540487235.6988862,54,1
313,1540487235.6990535,491,1
314,1540487235.7122016,60,-1
315,1540487235.7152338,60,-1
316,1540487235.7492893,491,1
317,1540487235.7654886,60,-1
